,Source,Year,Mean
0,GCAG,2016,0.9363
1,GISTEMP,2016,0.99
2,GCAG,2015,0.8998
3,GISTEMP,2015,0.87
4,GCAG,2014,0.7408
5,GISTEMP,2014,0.74
6,GCAG,2013,0.6679
7,GISTEMP,2013,0.65
8,GCAG,2012,0.624
9,GISTEMP,2012,0.63
10,GCAG,2011,0.5788
11,GISTEMP,2011,0.6
12,GCAG,2010,0.7014
13,GISTEMP,2010,0.71
14,GCAG,2009,0.6367
15,GISTEMP,2009,0.64
16,GCAG,2008,0.5419
17,GISTEMP,2008,0.54
18,GCAG,2007,0.61
19,GISTEMP,2007,0.66
20,GCAG,2006,0.6125
21,GISTEMP,2006,0.63
22,GCAG,2005,0.6585
23,GISTEMP,2005,0.69
24,GCAG,2004,0.5783
25,GISTEMP,2004,0.55
26,GCAG,2003,0.6134
27,GISTEMP,2003,0.62
28,GCAG,2002,0.6023
29,GISTEMP,2002,0.63
30,GCAG,2001,0.5473
31,GISTEMP,2001,0.55
32,GCAG,2000,0.4262
33,GISTEMP,2000,0.42
34,GCAG,1999,0.4438
35,GISTEMP,1999,0.42
36,GCAG,1998,0.6344
37,GISTEMP,1998,0.64
38,GCAG,1997,0.5187
39,GISTEMP,1997,0.48
40,GCAG,1996,0.3228
41,GISTEMP,1996,0.35
42,GCAG,1995,0.4577
43,GISTEMP,1995,0.46
44,GCAG,1994,0.3409
45,GISTEMP,1994,0.32
46,GCAG,1993,0.2853
47,GISTEMP,1993,0.24
48,GCAG,1992,0.2571
49,GISTEMP,1992,0.23
50,GCAG,1991,0.4055
51,GISTEMP,1991,0.43
52,GCAG,1990,0.4328
53,GISTEMP,1990,0.44
54,GCAG,1989,0.297
55,GISTEMP,1989,0.29
56,GCAG,1988,0.3757
57,GISTEMP,1988,0.41
58,GCAG,1987,0.3696
59,GISTEMP,1987,0.33
60,GCAG,1986,0.2296
61,GISTEMP,1986,0.19
62,GCAG,1985,0.1342
63,GISTEMP,1985,0.12
64,GCAG,1984,0.149
65,GISTEMP,1984,0.15
66,GCAG,1983,0.3411
67,GISTEMP,1983,0.3
68,GCAG,1982,0.1815
69,GISTEMP,1982,0.13
70,GCAG,1981,0.2999
71,GISTEMP,1981,0.33
72,GCAG,1980,0.2637
73,GISTEMP,1980,0.27
