total energy consumption from coal (quad Btu),1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
World,92.61898154,95.64405155,98.6790131,97.63128798,101.1496542,90.98777896,88.3269182,88.50403542,89.04034491,91.73214048,93.70031706,92.26133429,92.01923976,93.16070039,98.3695689,100.0897614,102.8831441,112.019891,119.7594565,128.0817523,135.3931976,142.0802631,144.317679,144.7411719,154.1538668,163.4665458,169.5297013,172.9542668,172.2478228,168.4392041,165.8359358
Afghanistan,0.003333443,0.003479281,0.002875095,0.00264592,0.002187572,0.001958398,0.000166672,0.000145838,0.000125004,0.00010417,6.2502E-05,4.1668E-05,4.1668E-05,2.0834E-05,2.0834E-05,0.000541685,0.000437514,0.000729191,0.000708357,0.000687523,0.000729191,0.005062667,0.007229405,0.010417009,0.015104664,0.03083431,0.025834152,0.028063389,0.031613501,0.028438401,0.03537612
Albania,0.03566854,0.037287502,0.037487996,0.037114729,0.032372883,0.018421893,0.00523497,0.003465617,0.002812836,0.002119899,0.001664473,0.001232295,0.000753954,0.00090345,0.001097828,0.001248304,0.000948836,0.000948767,0.000902931,0.000819093,0.001621969,0.002359147,0.002858442,0.003923002,0.003524944,0.003311342,0.002968888,0.00264252,0.003339684,0.002822255,0.00219942
Algeria,0.041970513,0.045400039,0.045428177,0.041014686,0.028252183,0.031485003,0.029095597,0.022630099,0.022967504,0.013493948,0.008939684,0.015236602,0.017654056,0.017766393,0.011300762,0.015376907,0.020605617,0.016979254,0.016795794,0.018314145,0.019474682,0.015373496,0.01567704,0.003821761,7.96356E-05,5.65193E-05,0.00033495,0.001109634,0.001079212,0.000698246,0.000697224
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Argentina,0.03831504,0.040244961,0.043656542,0.042206328,0.03682245,0.032100547,0.032470259,0.030263101,0.043442787,0.038560491,0.035591038,0.032777203,0.033283596,0.035105869,0.031537395,0.025021108,0.020899528,0.025194904,0.030903678,0.039736826,0.035643567,0.039136106,0.041233026,0.033872563,0.04172071,0.049204272,0.044682204,0.04826151,0.046411572,0.043798336,0.035245299
Armenia,--,--,--,--,--,--,0.002847,0.001786947,0.000726894,0.000413926,0.000325556,0.000237186,0.000148817,9.90447E-05,4.92181E-05,3.79888E-05,3.63447E-05,5.51629E-05,3.20356E-05,1.40129E-05,2.25942E-05,5.51227E-05,5.06402E-05,7.22854E-06,4.6925E-05,6.08369E-05,5.35074E-05,2.55452E-05,2.35188E-05,2.61232E-05,2.7224E-05
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,1.251652703,1.325343048,1.370460127,1.481660051,1.488398726,1.517750757,1.557565027,1.556888128,1.541265535,1.565850505,1.690992958,1.754501365,1.869771111,1.89975311,1.901012746,1.988102127,1.977470485,1.92098196,1.986100448,2.072901453,2.122395053,2.207943528,2.142733608,2.20247312,1.944554403,1.861924735,1.821669178,1.708371551,1.616574962,1.745101389,1.759090335
