"total energy consumption from nuclear, renewables, and other (quad Btu)",1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
World,40.5234835,41.86682115,44.23009468,45.17137384,46.20964404,47.71078798,47.90009143,49.85132196,50.61009831,52.7702987,54.23891092,54.31756446,54.69073846,56.16629539,57.45745903,57.78733465,58.36725431,58.23258837,61.08645329,62.74660615,64.27991226,64.71325306,66.61727774,67.39368988,71.51500712,72.37757449,72.60102545,76.36721482,79.09888165,80.3846911,83.76287934
Afghanistan,0.007447998,0.007876764,0.007681056,0.007824,0.007863912,0.007554288,0.005338738,0.00518643,0.005254308,0.004657984,0.00410806,0.003629786,0.0034003,0.003409,0.003523912,0.005487034,0.005987215,0.00671995,0.00600024,0.00625767,0.007792387,0.00947114,0.007906791,0.011515596,0.012693347,0.013447287,0.01750106,0.020291574,0.02147429,0.022417966,0.02479872
Albania,0.033298938,0.039634183,0.036786366,0.038987678,0.0300331,0.034137612,0.031404082,0.033622521,0.038516452,0.043177856,0.0580033,0.050403578,0.050972932,0.054713702,0.050072284,0.042267999,0.042680025,0.054935017,0.054889212,0.054450533,0.051193701,0.036963096,0.045345994,0.055637508,0.071788454,0.050051237,0.054845992,0.069469336,0.055060114,0.059447961,0.065754712
Algeria,0.002522158,0.004945129,0.001968111,0.002573179,0.001094573,0.000777956,-0.001147317,-0.000482112,-0.002141911,0.001033434,0.001844405,0.001584725,0.00300957,0.002434238,0.001469878,0.002898884,0.002868698,0.004438286,0.004171968,0.008273829,0.005318928,0.006356025,0.006832138,0.009274942,0.011050245,0.017627776,0.01934655,0.012235157,0.010251108,0.008844582,0.006038545
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,0.00689436,0.00687654,0.00681384,0.006958144,0.007468636,0.00746174,0.008604544,0.009082229,0.009139976,0.009187992,0.00947144,0.008844458,0.010696653,0.00905001,0.009211503,0.010405331,0.011515836,0.012443625,0.017357728,0.021967803,0.026166322,0.024433248,0.030576962,0.02989488,0.035863056,0.038650248,0.035665968,0.045167094,0.04796844,0.047498943,0.05474576
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019998,0.000019838,0.000019768,0.000019708,0.00003904,0.000039024,0.000038864,0.000009516,0.000009541,0.00000951,0.000009319,0.000009232
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9512E-06,0.000004858,0.000004758,5.7246E-06,0.000005706,0.000046595,0.000055392
Argentina,0.281814149,0.2993988,0.212928698,0.193291997,0.270978802,0.263175906,0.2902022,0.337723534,0.377195527,0.36511943,0.330956953,0.392205245,0.382681872,0.319873635,0.3721673,0.468043008,0.454463574,0.449515401,0.415958115,0.441273249,0.491044104,0.432466748,0.414329618,0.45244558,0.454045108,0.505107417,0.470739056,0.508466579,0.506688901,0.484480205,0.48487702
Armenia,--,--,--,--,--,--,0.032091922,0.043744937,0.035957604,0.01964398,0.04071154,0.03039675,0.03084889,0.03570396,0.032888868,0.031930737,0.039970823,0.040263038,0.043099449,0.044143688,0.044970114,0.045578024,0.04406082,0.04624599,0.048785267,0.047585861,0.041366872,0.042005675,0.041580114,0.046269947,0.043991887
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002928,0.001035112,0.001102766,0.001303692,0.001459773,0.00153111,0.001686739,0.00133864
Australia,0.148754904,0.140124861,0.124843188,0.136412397,0.134455644,0.147391875,0.144714606,0.160848197,0.159909225,0.159163281,0.161389643,0.17377146,0.166817118,0.179989344,0.175868345,0.181885645,0.175628589,0.180760516,0.177839371,0.19407435,0.20745971,0.190994651,0.162281822,0.171065957,0.197379055,0.235443571,0.228842107,0.286833798,0.322869124,0.289596282,0.328933949
Austria,0.348291392,0.278202299,0.388852795,0.387906521,0.3581166,0.365663976,0.391999898,0.402973687,0.392067617,0.410048243,0.390501791,0.402905402,0.412639884,0.442598656,0.46334109,0.466378573,0.457453408,0.409139959,0.444098457,0.454823926,0.467288237,0.492823559,0.498626619,0.488556345,0.469251669,0.44557401,0.518537962,0.529329847,0.525253347,0.489961261,0.504947302
Azerbaijan,--,--,--,--,--,--,0.016028708,0.024698904,0.019671756,0.01724528,0.01641316,0.021801227,0.019342383,0.017785494,0.017276383,0.014107312,0.0253787,0.030303648,0.031971012,0.033888245,0.027754511,0.022316504,0.019743788,0.02138036,0.032062084,0.02342776,0.01531828,0.014101982,0.01269628,0.016359663,0.016692088
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000010236,0.000044356,-0.000638426,0.000592736,0.000609788,0.000438588,-0.000511731,7.51778E-05,0.000095826,0.000056575,0.000025084
Bangladesh,0.0047007,0.005334528,0.006896432,0.009503552,0.00910175,0.00866188,0.008149496,0.006206018,0.008655124,0.006228448,0.00756888,0.007271656,0.008728632,0.00843645,0.009568538,0.010167672,0.010752861,0.01131975,0.012199488,0.012858714,0.013757653,0.007551376,0.009489402,0.00459696,0.008351136,0.009539169,0.00780312,0.010380608,0.00734172,0.007073121,0.010967616
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000019512,0.000029148,0.000028548,0.000038164,0.0000951,0.000130466,0.00027696
Belarus,--,--,--,--,--,--,0.022166154,0.020651899,0.013685969,0.024836148,0.029659528,0.027256866,0.030497507,0.02675815,0.027195384,0.01871347,0.018955373,0.01985547,0.013977601,0.016688306,0.018632716,0.01842745,0.009279497,0.018155174,0.012766617,0.022888385,0.030449533,0.02691058,0.015925707,0.013488851,0.015755401
Belgium,0.392887413,0.407466967,0.422813865,0.401743701,0.416111827,0.428242264,0.437041044,0.427394392,0.444831021,0.455456472,0.461497866,0.49451572,0.497271271,0.521193567,0.530650194,0.532850181,0.516991855,0.510965857,0.521657972,0.522355367,0.528240253,0.545925527,0.560579877,0.518584256,0.540739719,0.5680474,0.528824445,0.567178481,0.513457525,0.469460371,0.594022305
