total energy consumption from petroleum and other liquids (quad Btu),1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
World,127.1675459,129.5204236,133.7162963,135.3252591,136.4770281,136.8359618,137.7369113,136.5076576,139.231635,142.0298251,146.48754,148.5280433,150.2898447,153.5495884,156.9307587,158.0950546,159.3638073,162.7674717,169.5971864,171.6997389,173.9564899,176.5766055,175.8895187,173.0290745,178.6323587,179.8650407,182.9150311,184.794458,187.5378001,191.1859397,191.6527813
Afghanistan,0.028329758,0.028675112,0.027374636,0.027698618,0.028118186,0.026408512,0.014683914,0.014644024,0.013614067,0.013194499,0.012185452,0.011497729,0.011093382,0.011093398,0.008129111,0.008037032,0.006836039,0.009580643,0.008965576,0.013311272,0.017167204,0.018241911,0.041541548,0.072306945,0.085493838,0.110801523,0.098345426,0.069950161,0.05528505,0.0692211,0.050846665
Albania,0.082449887,0.072966858,0.068141514,0.058063178,0.043014162,0.03854419,0.043791663,0.035639668,0.027742255,0.031145343,0.024568785,0.025573471,0.031009561,0.01910171,0.045761196,0.048300987,0.055914566,0.056532534,0.063251986,0.06309585,0.058567703,0.057138346,0.05647564,0.054445616,0.052663621,0.0521623,0.046020699,0.054955503,0.056805568,0.053080053,0.05483
Algeria,0.318808593,0.324214207,0.335391347,0.357827385,0.379428085,0.407682005,0.41277114,0.40205261,0.397562745,0.399022928,0.388604746,0.384324268,0.400556475,0.378129342,0.4381881,0.444134049,0.483595725,0.491823407,0.513405022,0.518027203,0.528632034,0.544120936,0.625478194,0.691802262,0.685783048,0.688148656,0.73594742,0.790232024,0.824079844,0.859255,0.838878
American Samoa,0.006716584,0.006973009,0.006778814,0.007806191,0.008210538,0.008210538,0.008445519,0.008216196,0.008003583,0.007790971,0.007811607,0.008003583,0.008003583,0.008003594,0.007837103,0.007837103,0.007967312,0.007967312,0.007967312,0.008463481,0.008606956,0.008606956,0.008630536,0.008606956,0.008606956,0.004911509,0.004924966,0.004911509,0.004911509,0.004908811,0.004908869
Angola,0.051300896,0.051506939,0.051835409,0.052320305,0.052247925,0.055039372,0.05498806,0.053335041,0.05273896,0.057100637,0.05343439,0.063996363,0.05238564,0.064592882,0.080430224,0.090221248,0.093673197,0.10569338,0.112132162,0.087855878,0.117466215,0.138874002,0.171654636,0.20331696,0.220815085,0.231080612,0.246973165,0.287508463,0.326943194,0.325852707,0.308068
Antarctica,0.002763963,0.002763963,0.00298473,0.002763963,0.002976575,0.002976575,0.00298473,0.002976575,0.002976575,0.003189188,0.003197925,0.003189188,0.003189188,0.003189188,0.003172179,0.003259088,0.003259088,0.003259088,0.003302542,0.003302542,0.003302542,0.003345996,0.000148409,0.000190919,0.000190919,0.000190919,0.000191441,0.000190919,0.000190919,0.00018941,0.000189246
Antigua and Barbuda,0.004624394,0.005755917,0.005771311,0.005755917,0.00596853,0.005947652,0.005963571,0.005947652,0.006367219,0.006788429,0.006806652,0.006995384,0.006995384,0.006995404,0.007289302,0.007289302,0.007814668,0.008213775,0.008519161,0.00864945,0.008914564,0.009342398,0.009556925,0.010013005,0.009679626,0.009649499,0.009916654,0.009916654,0.010139449,0.01033443,0.010489332
Argentina,0.94287238,0.992813505,0.978284328,0.885250195,0.841722485,0.860379825,0.90126585,0.972360365,0.9218148,0.907088145,0.969358686,0.978994605,1.02596536,1.008139125,1.137513921,1.069136397,0.961266194,1.017968477,1.130898902,1.155202805,1.258303069,1.29320957,1.422393445,1.355714833,1.48022617,1.473905185,1.561940027,1.56905934,1.576160671,1.634033684,1.595071
Armenia,--,--,--,--,--,--,0.092761236,0.052314465,0.03809048,0.052220397,0.060696298,0.063133457,0.067990695,0.009666498,0.015144154,0.014825452,0.014099655,0.01468813,0.0153704,0.017728439,0.016701467,0.018180113,0.019402329,0.016953905,0.018088891,0.017117174,0.017722238,0.015759131,0.015696952,0.016651356,0.013772
Aruba,0.001453868,0.001453868,0.005570153,0.0074045,0.007820675,0.008531306,0.009371014,0.009521171,0.010446587,0.01182344,0.007792578,0.01260235,0.01260235,0.012602367,0.015072691,0.015595912,0.01612162,0.017952978,0.018721994,0.020217968,0.02017945,0.020794461,0.019534151,0.019182118,0.017246666,0.013441446,0.016927945,0.016187071,0.016386298,0.016791,0.016521
Australia,1.295406942,1.326613993,1.396856238,1.450944062,1.475459824,1.442688668,1.460019119,1.516703836,1.570986003,1.615144649,1.665311363,1.694436243,1.701952656,1.748654111,1.748792672,1.742021373,1.787929272,1.857243478,1.898587413,1.927918573,1.952886288,1.989092959,2.013752253,2.015348148,2.105006962,2.217825988,2.284818595,2.308754931,2.283645693,2.273404008,2.269104569
Austria,0.431790733,0.437767514,0.426477608,0.425921832,0.452160741,0.486106385,0.476992823,0.4896611,0.485557985,0.485569282,0.532121476,0.531847094,0.556371032,0.527363962,0.524199033,0.559156316,0.570234754,0.602572835,0.617948872,0.621069852,0.629196218,0.609069211,0.594047802,0.565254697,0.581041437,0.549714266,0.541558784,0.550363122,0.536045252,0.539208686,0.549273798
Azerbaijan,--,--,--,--,--,--,0.427240218,0.412263485,0.39206986,0.37790786,0.282917268,0.277796025,0.32035977,0.32395064,0.280745584,0.183003453,0.177103105,0.200837241,0.228864562,0.232917648,0.213643019,0.19000992,0.191796931,0.161256961,0.168397411,0.187648402,0.197709154,0.202940083,0.201464708,0.199667388,0.197653
Bahrain,0.032527772,0.038620139,0.038399512,0.039368243,0.04159394,0.042839941,0.043892147,0.042558927,0.043132233,0.043633013,0.041361367,0.040249025,0.045069215,0.049772568,0.064866232,0.066017033,0.071778308,0.084746516,0.095743757,0.115836241,0.127181623,0.125101272,0.128957405,0.119311334,0.114930853,0.114448637,0.118627745,0.114115104,0.115452356,0.12157146,0.1263442
Bangladesh,0.072970216,0.070795729,0.075861406,0.080286897,0.075791885,0.081498843,0.080200409,0.085545817,0.096632181,0.108213704,0.111350266,0.119036501,0.121339067,0.140240665,0.144272588,0.172082584,0.171632222,0.179175847,0.161330013,0.165159382,0.166072838,0.160308533,0.15933564,0.14661582,0.171239347,0.219726807,0.229548159,0.222972384,0.238612049,0.240133227,0.2401794
Barbados,0.017740095,0.016871076,0.015338372,0.016672799,0.017515094,0.017761377,0.018276394,0.017803027,0.016831466,0.01749576,0.015605157,0.019200533,0.019748918,0.020369796,0.022365196,0.022597966,0.022868939,0.02312424,0.023267597,0.023591085,0.023627906,0.022794177,0.027069212,0.025500876,0.024542044,0.025764828,0.024089506,0.024345011,0.021297151,0.022528,0.022835
Belarus,--,--,--,--,--,--,0.791597976,0.619900305,0.512591765,0.48753415,0.438730788,0.39436133,0.36032435,0.333023167,0.335808246,0.325571227,0.335085457,0.343002014,0.339713962,0.315656314,0.363340933,0.337774414,0.343541828,0.384208344,0.314808059,0.365026396,0.372417907,0.334217966,0.350313412,0.288218658,0.284028
Belgium,0.959582872,0.964330176,0.994904064,0.975299885,0.985481234,1.05317848,1.069960039,1.053291751,1.163616095,1.15980597,1.251783808,1.281523314,1.305179365,1.265423194,1.298991625,1.31344309,1.319759316,1.388756151,1.417565484,1.411576402,1.385216672,1.3919885,1.490264701,1.310612122,1.378589425,1.282890475,1.25007544,1.285690118,1.260386378,1.291989259,1.322086274
Belize,0.003706413,0.002958679,0.002170795,0.003299884,0.004474302,0.005122906,0.00423037,0.004219679,0.004007066,0.004640998,0.00384811,0.006438024,0.006343403,0.006535154,0.007110946,0.007421169,0.007081943,0.007177939,0.006670774,0.007183963,0.007553798,0.006936074,0.006309599,0.006993087,0.007650772,0.006182629,0.006765303,0.007384702,0.007168964,0.0083198,0.008231122
Benin,0.006938075,0.005365737,0.006788055,0.006961391,0.008079239,0.009503914,0.010517156,0.011638828,0.012208374,0.013197488,0.014417728,0.01567363,0.017020826,0.007750556,0.02214085,0.025205827,0.029033862,0.033669875,0.035411035,0.033063201,0.045915429,0.054539607,0.055582493,0.061325609,0.070291623,0.065210943,0.061440526,0.062745586,0.066091262,0.07305374,0.092433
Bermuda,0.006898958,0.009947155,0.010856062,0.013118413,0.009310567,0.008157057,0.006372845,0.007404973,0.007136151,0.007319365,0.007552188,0.007531977,0.007531977,0.007531992,0.00823178,0.008349479,0.008786658,0.008766686,0.009077513,0.009558814,0.010795871,0.012539087,0.011995108,0.009438427,0.011113202,0.00718221,0.007767438,0.007802241,0.010104616,0.008497225,0.01081503
Bhutan,0.000401478,0.000477224,0.000477207,0.000477224,0.001071284,0.001071284,0.001074007,0.001071284,0.001222029,0.001626376,0.001630619,0.001720512,0.001877083,0.001877116,0.002183855,0.002367255,0.002469352,0.002729652,0.002864525,0.003066343,0.0031726,0.00329626,0.003202624,0.003570766,0.004526029,0.005330612,0.006054345,0.00638686,0.005985097,0.006696,0.006905
Bolivia,0.04199774,0.040904747,0.04462444,0.047826753,0.049005776,0.050053071,0.051696475,0.052169388,0.05875781,0.065182065,0.067089447,0.070124713,0.078231363,0.089769268,0.081698776,0.074640936,0.078415944,0.083471554,0.092698041,0.091748142,0.098376407,0.108325607,0.10074306,0.099060392,0.107960587,0.126256524,0.141731406,0.13700165,0.148530879,0.179030947,0.1788682
Bosnia and Herzegovina,--,--,--,--,--,--,0.073091225,0.047452884,0.041156232,0.040305965,0.038834247,0.038957618,0.043804015,0.044844375,0.048523225,0.047919656,0.046263016,0.043453503,0.050856163,0.048002055,0.051898122,0.05526985,0.063519495,0.070645808,0.071583654,0.073179856,0.066107181,0.061869314,0.063016853,0.064332658,0.074407
