Location,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
    World,324.5344016,334.5932663,347.6354523,352.3576472,358.9595455,352.2644272,351.0744285,353.9732567,357.8829972,367.8566845,377.6252247,378.8062108,381.3731356,389.3954495,402.3626373,405.9035057,414.6744084,429.8071355,450.2379059,465.135003,479.9417227,493.091062,499.6972405,494.3132499,523.725112,538.7016471,550.8484054,561.7706158,567.0296292,570.0615279,573.9508257
        Afghanistan,0.039111199,0.063065158,0.111220787,0.109364539,0.108320341,0.047438198,0.031281766,0.031068733,0.030081109,0.025348473,0.024860219,0.023673388,0.023039555,0.023027437,0.020178062,0.01591449,0.015109509,0.01776928,0.016413669,0.020995961,0.026428278,0.034254709,0.058526483,0.095348795,0.118538529,0.161050802,0.147607649,0.124017682,0.113619521,0.125483137,0.117133389
        Albania,0.166075365,0.166640543,0.168590876,0.160340585,0.114845298,0.096323694,0.084191203,0.073833402,0.070178183,0.077549738,0.085342624,0.077946721,0.083842512,0.075456239,0.098037374,0.092923356,0.100649493,0.113522384,0.120150195,0.119471541,0.112489439,0.09682504,0.105744823,0.115070874,0.128327344,0.105875204,0.104431132,0.127732976,0.116326405,0.116576406,0.12436058
        Algeria,1.073661264,1.148639374,1.222947634,1.18021525,1.212354841,1.354444964,1.30211942,1.197210337,1.233072137,1.289074909,1.258272942,1.203513696,1.251050206,1.246468079,1.269246842,1.275921943,1.319388143,1.329937049,1.30171688,1.498422297,1.572305772,1.558107806,1.68592524,1.783379231,1.777793483,1.938981898,2.099941293,2.039276069,2.30202481,2.354764812,2.337093871
        American Samoa,0.006716584,0.006973009,0.006778814,0.007806191,0.008210538,0.008210538,0.008445519,0.008216196,0.008003583,0.007790971,0.007811607,0.008003583,0.008003583,0.008003594,0.007837103,0.007837103,0.007967312,0.007967312,0.007967312,0.008463481,0.008606956,0.008606956,0.008630536,0.008606956,0.008606956,0.004911509,0.004924966,0.004911509,0.004911509,0.004908811,0.004908869
        Angola,0.072853256,0.075135479,0.077495249,0.074983449,0.079608634,0.083441112,0.084668242,0.083123161,0.081101856,0.086994519,0.08361172,0.093916459,0.084527679,0.094348783,0.110717366,0.120223226,0.128113413,0.142170629,0.157220993,0.133857304,0.168775405,0.193996338,0.227374466,0.258724455,0.283817648,0.297535913,0.310739985,0.347761278,0.383452814,0.401933174,0.392504519
        Antarctica,0.002763963,0.002763963,0.00298473,0.002763963,0.002976575,0.002976575,0.00298473,0.002976575,0.002976575,0.003189188,0.003197925,0.003189188,0.003189188,0.003189188,0.003172179,0.003259088,0.003259088,0.003259088,0.003302542,0.00332254,0.00332238,0.003365764,0.000168117,0.000229959,0.000229943,0.000229783,0.000200957,0.00020046,0.000200429,0.000198729,0.000198478
        Antigua and Barbuda,0.004624394,0.005755917,0.005771311,0.005755917,0.00596853,0.005947652,0.005963571,0.005947652,0.006367219,0.006788429,0.006806652,0.006995384,0.006995384,0.006995404,0.007289302,0.007289302,0.007814668,0.008213775,0.008519161,0.00864945,0.008914564,0.009342398,0.009556925,0.010013005,0.009681577,0.009654357,0.009921412,0.009922379,0.010145155,0.010381025,0.010544724
        Argentina,1.904251569,1.953187266,1.966407569,1.942574521,1.884693778,1.971602727,2.046530959,2.210920825,2.237380664,2.306809816,2.391735123,2.457222207,2.567877207,2.557337732,2.766806267,2.714348857,2.553718673,2.768825153,2.976797969,3.128617718,3.326109088,3.38564379,3.5168705,3.434079085,3.573573724,3.730606466,3.791191174,3.848215989,3.866635894,3.896439408,3.90242516
        Armenia,--,--,--,--,--,--,0.196473295,0.149610028,0.133930478,0.131433803,0.168291184,0.14183464,0.150753129,0.093167001,0.100216716,0.098558904,0.09440936,0.103813073,0.107678376,0.124743308,0.124551344,0.139759509,0.134875163,0.120518071,0.134215228,0.141301718,0.149730889,0.146899632,0.149737598,0.138745776,0.139726583
